Latitude,Temperature,Altitude
140,-18.110237,6
141,-17.834646,6
142,-17.007874,6
143,-17.007874,6
144,-18.661417,6
145,-16.732283,6
146,-20.31496,6
147,-17.283464,6
148,-18.661417,6
149,-14.803149,6
150,-15.07874,6
93,-22.519686,7
94,-22.519686,7
96,-22.244095,7
97,-22.244095,7
98,-20.03937,7
99,-21.968504,7
100,-20.590551,7
101,-23.897638,7
102,-23.622047,7
103,-21.968504,7
104,-22.244095,7
105,-23.070866,7
106,-22.519686,7
107,-22.244095,7
108,-24.17323,7
109,-21.968504,7
110,-17.007874,7
111,-19.212599,7
112,-22.244095,7
113,-21.692913,7
114,-19.212599,7
115,-16.181103,7
116,-15.629921,7
117,-16.456694,7
128,-18.110237,7
129,-20.590551,7
130,-20.03937,7
131,-21.692913,7
132,-20.866142,7
133,-19.48819,7
134,-17.834646,7
135,-19.48819,7
136,-21.692913,7
137,-18.937008,7
138,-20.31496,7
139,-20.31496,7
140,-24.448818,7
141,-22.795275,7
142,-21.692913,7
143,-19.48819,7
144,-18.110237,7
145,-18.661417,7
146,-19.48819,7
147,-18.110237,7
148,-18.110237,7
149,-18.937008,7
150,-19.48819,7
151,-16.181103,7
152,-14.527559,7
153,-15.07874,7
154,-15.07874,7
155,-16.456694,7
156,-16.181103,7
157,-16.181103,7
87,-18.110237,8
88,-17.834646,8
89,-18.661417,8
90,-20.31496,8
91,-20.866142,8
92,-20.866142,8
93,-21.141733,8
94,-20.866142,8
95,-19.212599,8
96,-20.866142,8
97,-24.448818,8
101,-23.070866,8
102,-22.795275,8
103,-20.866142,8
104,-19.763779,8
105,-18.110237,8
106,-18.661417,8
107,-15.629921,8
108,-15.905512,8
109,-17.283464,8
110,-18.385826,8
111,-18.385826,8
112,-18.385826,8
113,-19.48819,8
114,-17.559055,8
117,-18.385826,8
118,-17.834646,8
119,-17.834646,8
120,-19.763779,8
121,-20.03937,8
122,-19.763779,8
123,-20.590551,8
124,-20.03937,8
125,-19.212599,8
