Longitude,latitude,Temperature_17_09,Temperature_18_09,Temperature_19_09,Temperature_20_09,Temperature_22_09,Temperature_23_09,Temperature_24_09,Temperature_25_09,Temperature_26_09,Temperature_27_09,Temperature_28_09,Temperature_28_09,Temperature_28_09,Temperature_29_09,Temperature_30_09,Temperature_01_10,Temperature_02_10,Temperature_03_10,Temperature_04_10,Temperature_05_10,Temperature_06_10,Temperature_07_10,Temperature_08_10,Temperature_09_10,Temperature_10_10,Temperature_11_10,Temperature_12_10,Temperature_12_10,Temperature_13_10,Temperature_14_10,Temperature_15_10
140,84,-12.047244,-13.9763775,-23.897638,-18.661417,-15.354331,-11.220472,-15.629921,-10.6692915,-8.740157,-7.086614,-12.047244,-12.047244,-12.047244,-19.48819,-15.629921,-15.629921,-23.070866,-20.590551,-16.181103,-24.72441,-18.385826,-12.598425,-22.795275,-21.692913,-13.700788,-21.968504,-22.519686,-17.559055,-17.559055,-24.17323,-18.110237
141,84,-10.6692915,-10.944881,-22.244095,-19.212599,-15.354331,-11.496063,-20.866142,-11.496063,-9.566929,-7.6377954,-10.393701,-10.393701,-10.393701,-20.590551,-17.283464,-21.417322,-23.897638,-19.763779,-18.385826,-22.519686,-23.897638,-13.9763775,-18.661417,-18.110237,-13.9763775,-17.283464,-18.937008,-20.03937,-20.03937,-20.590551,-17.834646
142,84,-10.944881,-13.149607,-17.283464,-17.559055,-15.07874,-13.149607,-14.527559,-11.496063,-10.118111,-8.740157,-10.393701,-10.393701,-10.393701,-17.834646,-18.937008,-22.244095,-23.070866,-20.03937,-20.03937,-21.692913,-20.866142,-16.732283,-21.417322,-21.141733,-15.354331,-17.559055,-21.417322,-24.17323,-24.17323,-23.070866,-17.007874
143,84,-9.84252,-11.220472,-15.354331,-19.212599,-14.803149,-13.425197,-13.149607,-12.322835,-8.188976,-8.188976,-12.322835,-12.322835,-12.322835,-16.732283,-19.212599,-24.72441,-22.519686,-24.17323,-20.866142,-23.897638,-22.244095,-16.732283,-17.834646,-19.763779,-14.803149,-17.834646,-18.937008,-23.346457,-23.346457,-21.141733,-17.007874
144,84,-12.874016,-12.598425,-13.425197,-16.181103,-17.834646,-13.9763775,-13.9763775,-13.149607,-12.047244,-11.220472,-11.496063,-11.496063,-11.496063,-20.590551,-20.590551,-18.661417,-21.692913,-21.968504,-23.897638,-23.346457,-19.763779,-20.31496,-18.110237,-19.48819,-17.559055,-15.905512,-18.110237,-22.519686,-22.519686,-21.692913,-18.661417
145,84,-10.6692915,-9.84252,-14.527559,-13.9763775,-14.527559,-11.496063,-11.771653,-12.047244,-10.118111,-7.913386,-13.149607,-13.149607,-13.149607,-18.661417,-18.661417,-17.007874,-18.661417,-24.17323,-20.866142,-20.590551,-22.795275,-17.283464,-15.905512,-17.007874,-15.07874,-14.803149,-17.007874,-20.590551,-20.590551,-19.48819,-16.732283
146,84,-13.9763775,-12.598425,-11.771653,-13.149607,-17.834646,-17.007874,-14.803149,-13.425197,-13.425197,-11.771653,-10.944881,-10.944881,-10.944881,-17.007874,-20.590551,-17.834646,-18.937008,-21.141733,-22.244095,-22.795275,-20.866142,-20.866142,-18.385826,-16.456694,-17.283464,-18.385826,-17.007874,-20.866142,-20.866142,-21.417322,-20.31496
147,84,-13.149607,-10.6692915,-11.771653,-12.322835,-16.732283,-15.354331,-13.700788,-13.425197,-13.149607,-11.771653,-10.393701,-10.393701,-10.393701,-21.417322,-18.661417,-19.48819,-20.866142,-22.795275,-22.795275,-23.897638,-19.48819,-20.590551,-17.834646,-17.283464,-17.007874,-17.559055,-15.629921,-19.48819,-19.48819,-20.31496,-17.283464
148,84,-9.566929,-7.3622046,-12.874016,-10.118111,-13.425197,-13.149607,-11.220472,-11.220472,-10.393701,-8.740157,-13.149607,-13.149607,-13.149607,-20.03937,-15.905512,-13.9763775,-18.661417,-22.795275,-19.212599,-18.937008,-20.31496,-17.007874,-14.803149,-16.732283,-14.527559,-18.110237,-17.007874,-19.212599,-19.212599,-18.385826,-18.661417
149,84,-11.220472,-9.015748,-15.354331,-11.496063,-14.803149,-15.07874,-12.322835,-12.047244,-10.944881,-10.118111,-9.566929,-9.566929,-9.566929,-12.874016,-18.661417,-12.598425,-19.212599,-22.244095,-22.244095,-18.661417,-21.141733,-17.559055,-15.905512,-17.007874,-16.181103,-15.07874,-16.732283,-19.48819,-19.48819,-19.48819,-14.803149
150,84,-12.874016,-10.6692915,-17.283464,-12.047244,-16.181103,-16.456694,-13.149607,-13.149607,-12.598425,-11.220472,-11.220472,-11.220472,-11.220472,-13.425197,-18.661417,-13.700788,-20.866142,-17.283464,-21.968504,-17.834646,-18.937008,-20.03937,-17.834646,-17.559055,-18.110237,-14.527559,-17.283464,-20.866142,-20.866142,-20.590551,-15.07874
